Subj,Block,Type,Stim,Corr,Trial,Resp,RT,Succ,TrialType,TrialTypeInt
sub-11,Block1,Cond,stimuli/Healthy/29.jpg,left,148,left,1.06355978500142,1,Cond-50,50
sub-11,Block1,Fix1,stimuli/Soft/42.jpg,left,149,left,2.00235831200189,1,Fix1-52,52
sub-11,Block1,Cond,stimuli/Healthy/55.jpg,right,150,right,1.08152670799973,1,Cond-51,51
sub-11,Block1,Fix1,stimuli/Soft/15.jpg,left,151,left,0.899665924996953,1,Fix1-53,53
sub-11,Block1,Fix2,stimuli/Smell/44.jpg,right,152,right,0.769682551999722,1,Fix2-49,49
sub-11,Block1,Fix2,stimuli/Smell/37.jpg,right,153,right,0.711823541998456,1,Fix2-50,50
sub-11,Block1,Fix1,stimuli/Soft/28.jpg,left,154,left,0.887866266999481,1,Fix1-54,54
sub-11,Block1,Cond,stimuli/Healthy/50.jpg,right,155,right,1.07542177000141,1,Cond-52,52
sub-11,Block1,Fix1,stimuli/Soft/52.jpg,left,156,left,1.10034931500195,1,Fix1-55,55
sub-11,Block1,Cond,stimuli/Healthy/5.jpg,right,157,right,0.89001239999925,1,Cond-53,53
sub-11,Block1,Fix1,stimuli/Soft/45.jpg,left,158,left,0.926259758001834,1,Fix1-56,56
sub-11,Block1,Fix2,stimuli/Smell/42.jpg,right,159,right,0.769976022002083,1,Fix2-51,51
sub-11,Block1,Fix2,stimuli/Smell/12.jpg,right,160,right,0.756955354998354,1,Fix2-52,52
sub-11,Block1,Cond,stimuli/Healthy/40.jpg,left,161,left,1.0079856730008,1,Cond-54,54
sub-11,Block1,Fix2,stimuli/Smell/0.jpg,right,162,right,1.54261869999755,1,Fix2-53,53
sub-11,Block1,Cond,stimuli/Healthy/48.jpg,left,163,left,1.3241796220027,1,Cond-55,55
sub-11,Block1,Fix2,stimuli/Smell/10.jpg,right,164,right,0.939874363000854,1,Fix2-54,54
sub-11,Block1,Fix1,stimuli/Soft/53.jpg,left,165,left,0.757305694998649,1,Fix1-57,57
sub-11,Block1,Fix2,stimuli/Smell/55.jpg,right,166,right,1.14144340299754,1,Fix2-55,55
sub-11,Block1,Fix2,stimuli/Smell/53.jpg,right,167,right,1.32680383999832,1,Fix2-56,56
sub-11,Block1,Fix1,stimuli/Soft/36.jpg,left,168,left,2.41294600499896,1,Fix1-58,58
sub-11,Block1,Fix2,stimuli/Smell/14.jpg,right,169,left,7.7150134830008,0,Fix2-57,57
sub-11,Block1,Cond,stimuli/Healthy/53.jpg,left,170,right,3.84663419799836,0,Cond-56,56
sub-11,Block1,Fix2,stimuli/Smell/22.jpg,right,171,right,3.54404116799924,1,Fix2-58,58
sub-11,Block1,Cond,stimuli/Healthy/27.jpg,left,172,left,1.00896307500079,1,Cond-57,57
sub-11,Block1,Cond,stimuli/Healthy/3.jpg,right,173,right,1.02731115500137,1,Cond-58,58
sub-11,Block1,Cond,stimuli/Healthy/22.jpg,left,174,left,0.884709767000459,1,Cond-59,59
sub-11,Block1,Fix2,stimuli/Smell/13.jpg,right,175,right,0.743993435000448,1,Fix2-59,59
sub-11,Block1,Cond,stimuli/Healthy/25.jpg,left,176,left,0.877685679999558,1,Cond-60,60
sub-11,Block1,Fix2,stimuli/Smell/23.jpg,right,177,right,0.827133071998105,1,Fix2-60,60
sub-11,Block1,Fix1,stimuli/Soft/5.jpg,left,178,left,1.37234394500047,1,Fix1-59,59
sub-11,Block1,Fix1,stimuli/Soft/2.jpg,left,179,left,0.895192364998366,1,Fix1-60,60
sub-11,Block2,Fix2,stimuli/Small/17.jpg,left,0,right,4.97512284500044,0,Fix2-1,1
sub-11,Block2,Fix2,stimuli/Small/39.jpg,left,1,left,2.59188444200117,1,Fix2-2,2
sub-11,Block2,Cond,stimuli/Sad/21.jpg,right,2,right,2.99723419300062,1,Cond-1,1
sub-11,Block2,Cond,stimuli/Sad/15.jpg,left,3,left,5.46150521800155,1,Cond-2,2
sub-11,Block2,Fix1,stimuli/Old/49.jpg,right,4,right,1.99628495499928,1,Fix1-1,1
sub-11,Block2,Cond,stimuli/Sad/51.jpg,left,5,left,1.62237202000324,1,Cond-3,3
sub-11,Block2,Fix1,stimuli/Old/9.jpg,right,6,left,2.98950888000036,0,Fix1-2,2
sub-11,Block2,Cond,stimuli/Sad/7.jpg,left,7,right,2.48718761499913,0,Cond-4,4
sub-11,Block2,Cond,stimuli/Sad/31.jpg,right,8,left,2.6829397520014,0,Cond-5,5
sub-11,Block2,Cond,stimuli/Sad/54.jpg,left,9,right,0.924817244998849,0,Cond-6,6
sub-11,Block2,Fix1,stimuli/Old/26.jpg,right,10,left,0.221619539999665,0,Fix1-3,3
sub-11,Block2,Fix2,stimuli/Small/22.jpg,left,11,right,2.65207801200086,0,Fix2-3,3
sub-11,Block2,Fix2,stimuli/Small/4.jpg,left,12,right,3.18413455300106,0,Fix2-4,4
sub-11,Block2,Cond,stimuli/Sad/16.jpg,right,13,left,5.45015657199838,0,Cond-7,7
sub-11,Block2,Fix2,stimuli/Small/48.jpg,left,14,right,2.48749859999953,0,Fix2-5,5
sub-11,Block2,Fix1,stimuli/Old/15.jpg,right,15,left,1.39058241300154,0,Fix1-4,4
sub-11,Block2,Cond,stimuli/Sad/27.jpg,left,16,right,5.15084489799847,0,Cond-8,8
sub-11,Block2,Cond,stimuli/Sad/17.jpg,right,17,left,1.70984365199911,0,Cond-9,9
sub-11,Block2,Cond,stimuli/Sad/42.jpg,left,18,left,2.38845282199691,1,Cond-10,10
sub-11,Block2,Fix1,stimuli/Old/52.jpg,right,19,right,6.72668920500291,1,Fix1-5,5
sub-11,Block2,Cond,stimuli/Sad/59.jpg,left,20,left,0.982160532003036,1,Cond-11,11
sub-11,Block2,Cond,stimuli/Sad/52.jpg,right,21,left,1.00056705200041,0,Cond-12,12
sub-11,Block2,Fix2,stimuli/Small/16.jpg,left,22,right,6.43401181000081,0,Fix2-6,6
sub-11,Block2,Fix1,stimuli/Old/10.jpg,right,23,right,1.41195296000296,1,Fix1-6,6
sub-11,Block2,Fix1,stimuli/Old/59.jpg,right,24,right,0.697929434998514,1,Fix1-7,7
sub-11,Block2,Fix1,stimuli/Old/32.jpg,right,25,right,0.709084779999102,1,Fix1-8,8
sub-11,Block2,Fix2,stimuli/Small/9.jpg,left,26,left,4.68247189499743,1,Fix2-7,7
sub-11,Block2,Fix2,stimuli/Small/47.jpg,left,27,right,1.98726471500049,0,Fix2-8,8
sub-11,Block2,Fix1,stimuli/Old/43.jpg,right,28,right,0.977815754999028,1,Fix1-9,9
sub-11,Block2,Fix2,stimuli/Small/19.jpg,left,29,right,0.99391593999826,0,Fix2-9,9
sub-11,Block2,Cond,stimuli/Sad/47.jpg,right,30,left,1.08225170700098,0,Cond-13,13
sub-11,Block2,Cond,stimuli/Sad/0.jpg,left,31,left,0.841428150000866,1,Cond-14,14
